subj,Social_Act,Social_FC,Social_PPIdiff,WM_Act,WM_FC,WM_PPIdiff,Emotion_Act,Emotion_FC,Emotion_PPIdiff,Gambling_Act,Gambling_FC,Gambling_PPIdiff
100206,15.539824,-0.049109,0.082746,-12.427006,0.300300,-0.111283,5.304921,0.017961,0.008188,-2.488477,-0.077437,0.020539
101309,-5.487147,0.044472,0.135431,-6.790150,0.198029,0.234076,-5.053822,-0.036958,-0.139239,11.673949,-0.046334,-0.107491
101410,14.342327,0.168963,0.127367,-15.209442,0.385187,0.090826,-8.966814,-0.047215,0.063575,-4.223376,0.102490,-0.005562
101915,10.654566,-0.039974,-0.055332,-3.051107,0.221087,0.103447,2.001158,-0.022405,-0.001885,-7.392825,-0.033473,-0.000954
105923,0.645067,0.275618,0.069417,-0.973909,0.182683,0.070746,-2.156721,-0.026565,-0.080131,-11.092791,0.059214,-0.042895
108525,12.139197,-0.063869,0.058759,2.026724,0.081586,-0.109166,0.003759,-0.049372,-0.049790,4.887870,0.131306,-0.085886
109325,7.237242,0.068648,-0.015581,1.945595,0.179055,0.098060,-0.860442,0.289851,-0.193182,-7.168368,0.074514,-0.026580
110411,-39.987193,0.139212,0.296425,-18.058398,0.312796,0.106579,-6.991527,0.063554,0.076188,2.379096,0.029853,-0.113469
111716,0.236075,0.057327,-0.088353,-1.110886,0.337219,0.169786,-3.714622,0.034155,-0.056716,-7.777441,-0.054708,-0.043384
112314,-5.104551,0.185641,0.010350,1.641914,0.212810,0.037819,-5.707926,-0.145478,-0.010117,1.236111,0.000199,-0.064132
112920,2.275181,0.084903,0.053988,-1.212344,0.035061,-0.144419,-1.035046,0.120749,0.124948,6.638981,0.067817,-0.001877
113215,7.447273,0.065175,0.073232,0.224478,-0.020015,-0.103421,-4.088277,0.315337,-0.049392,2.436887,0.017897,-0.033555
114823,13.464923,0.166388,-0.036131,-18.317506,0.228189,-0.015186,-8.299310,0.036252,-0.136568,4.698105,-0.005967,-0.058187
118124,-6.061103,0.077455,-0.101620,-1.534504,0.210119,-0.216756,-6.167045,-0.003054,-0.058603,-1.223529,0.047934,0.045925
118528,6.715264,0.125046,0.009749,-2.911123,-0.066181,0.033855,-4.027950,0.075161,0.121805,2.496809,-0.043263,-0.013386
118932,0.869772,0.271444,-0.515546,-5.111705,0.293476,0.162676,-25.467535,0.192275,-0.084427,-20.628003,0.009211,-0.020444
119126,3.791181,0.246914,-0.124448,-8.193548,0.031285,0.034613,0.512129,0.048586,0.033889,-3.359856,0.003747,-0.023967
119732,-15.149810,0.004954,0.018468,5.243674,0.484196,-0.222806,13.907290,-0.114418,0.046642,0.722857,0.254399,-0.122862
120515,8.796504,0.409833,0.159874,14.791770,0.538556,0.009597,-0.630736,0.109034,-0.135339,-2.162674,-0.048527,0.059717
121416,13.880255,0.308928,0.433264,14.273494,0.534026,0.114782,-0.635143,-0.097097,-0.075654,-18.155974,0.033206,-0.090399
122317,2.988810,0.017137,-0.120142,-0.827363,0.005714,0.010855,-7.150928,-0.155501,0.014070,7.553125,0.089487,0.014689
124624,5.219502,0.060373,-0.012164,9.020212,0.202739,-0.096080,7.247559,0.225735,-0.198003,-7.785358,0.048480,-0.039567
127327,-39.519394,-0.127251,-0.241652,-4.992024,-0.015159,0.016801,-14.590777,0.158436,-0.039558,21.772065,0.069017,0.001193
127630,-18.784003,0.137842,-0.064374,-0.103205,0.090908,-0.005929,14.229630,-0.060112,0.002268,-2.997471,-0.028851,-0.088861
129634,1.141921,-0.109992,-0.144162,-3.407072,0.164378,-0.100387,3.210035,0.221963,-0.092433,14.546979,0.091469,-0.080975
130922,-6.405416,0.028384,-0.197094,-10.501475,0.369050,-0.007843,-4.837788,0.120329,-0.178495,11.521452,0.032731,-0.021138
135225,-0.770343,0.054562,0.108669,-4.088011,0.179677,0.091043,4.813622,0.021333,-0.064768,0.696953,-0.064830,0.049193
135629,-13.448050,0.081799,-0.210685,3.096777,0.145601,0.003415,10.167860,-0.115042,0.020579,0.158582,-0.013010,0.019090
135932,2.111498,0.123097,-0.066560,3.152666,0.038310,-0.001988,2.741213,0.134870,0.054137,-2.317569,-0.008799,-0.044518
137633,9.220413,0.132189,-0.110553,-5.683774,0.052610,-0.266148,-4.410767,-0.038787,0.041420,-4.348716,-0.002927,0.030647
138231,1.612831,0.184432,0.027829,-5.458226,0.040840,0.080594,-2.067088,-0.135715,0.250540,-6.183834,0.006710,-0.034962
142828,6.884108,-0.025374,-0.141431,-4.412570,0.093095,-0.009786,7.091678,-0.084262,0.139823,-7.242238,-0.056976,0.031229
144832,7.197547,0.341537,-0.106326,5.783811,0.129698,-0.111482,5.929717,0.150856,0.150869,7.094329,0.092085,-0.002405
146533,-1.568707,0.161688,0.207171,-4.990116,0.171161,-0.007618,-1.923938,-0.183353,-0.050685,2.963430,-0.019251,-0.062437
147737,-1.629006,0.148972,-0.203606,9.785961,0.156457,-0.079386,9.655411,-0.274214,-0.043454,0.724835,-0.061822,-0.066961
150019,-13.264422,0.176195,0.048759,-2.102736,0.255532,-0.024686,-2.759273,0.077051,-0.043297,-4.435920,-0.017203,-0.013972
150625,-16.806147,0.534204,-0.019403,-3.778260,0.078451,-0.275538,-5.363825,0.375775,-0.015673,-7.302091,0.014631,0.054239
151021,5.222482,0.043069,0.057993,-14.548839,-0.198694,-0.350192,-0.712582,0.270295,0.095604,6.720044,0.105267,0.023026
151627,20.762067,0.230431,0.209552,-2.999386,0.057408,0.110161,11.632710,0.114436,0.197375,-14.992294,-0.065357,-0.122613
151829,8.811307,0.163948,0.392543,-5.467235,0.331936,0.180154,-11.550659,-0.189298,0.193069,0.769337,0.016869,0.052659
152427,2.871154,0.163676,0.113688,5.270195,-0.061567,-0.100653,17.875521,-0.002429,0.075204,-1.993966,0.005331,-0.092576
153025,-6.384606,0.232920,-0.054819,-9.375293,0.028213,0.131868,-4.097708,0.105878,-0.149520,5.005972,0.044807,-0.089042
153126,6.439917,0.232879,-0.242235,-6.968290,0.251885,0.019280,3.429689,0.021036,0.049190,4.524276,0.102360,-0.054765
153631,-18.069808,0.368519,0.071790,-6.106498,0.240484,0.246567,-4.394996,0.127689,-0.000434,10.514388,0.079130,-0.019273
154734,11.719770,0.295775,0.244793,-2.659979,0.002351,-0.042826,6.461047,0.003468,0.101201,-5.867705,0.094275,-0.061982
155635,-2.270691,0.047558,0.166863,1.784620,0.225891,-0.184056,6.035054,0.005812,-0.114205,-4.204025,-0.075239,-0.163337
156637,52.017405,-0.139505,-0.101084,3.996243,0.033070,0.043359,9.902215,0.055694,0.007259,-11.627298,-0.023666,0.056358
157437,-5.860916,0.165932,0.051167,0.835365,-0.221818,-0.067230,1.312036,0.053390,-0.004574,-16.184637,-0.149061,0.076861
158035,9.180333,0.099903,-0.045799,-4.970899,-0.147148,-0.057656,-7.619723,-0.110214,0.205819,-8.210921,0.127919,0.075227
159744,-4.385829,0.270435,0.140575,0.849340,0.185946,0.184352,-4.390342,0.293330,-0.038259,-3.169411,0.001756,0.014751
162228,1.745195,-0.034567,-0.169919,-5.038842,0.204655,0.238103,-9.203493,0.476595,-0.283990,13.263463,0.087601,0.055961
162733,6.657341,0.045509,0.148447,-1.623586,0.737721,0.069415,2.750377,-0.008921,0.011436,10.815505,0.010757,-0.001728
164939,2.533991,0.274841,-0.205515,-18.162688,0.361065,-0.136110,-3.546478,0.062457,0.048337,-2.887106,-0.052602,0.063479
165941,-6.137362,0.042349,-0.272111,-0.645763,-0.000417,0.000766,-6.005077,-0.006515,0.166996,3.419043,-0.024906,-0.083983
166640,-3.580443,0.060437,-0.081432,4.211293,0.131622,0.110747,-1.770828,-0.010811,0.128449,16.121267,0.078472,-0.012646
168139,65.497295,0.161165,-0.491541,-25.363429,0.605719,0.235962,0.497914,0.128751,0.142412,-10.987393,0.207977,0.081482
169545,24.760838,0.161772,-0.247774,-9.443662,0.531781,-0.021309,-9.166201,-0.061351,0.154151,-21.484696,0.091060,0.098072
173233,-2.882942,0.079907,-0.053801,-7.347642,0.212280,-0.091839,-13.859101,0.052935,-0.016633,-5.341322,0.044048,-0.008651
173435,5.091389,0.080637,-0.076320,-6.044258,0.105761,0.108311,-10.822221,-0.048206,0.223728,-2.097959,0.109281,-0.077412
173536,1.276430,0.288252,0.313807,0.199924,0.093000,0.017933,-8.498574,0.066785,-0.015082,-0.284478,-0.013940,-0.040074
173839,-0.952170,0.141263,-0.097627,-1.832034,0.206598,0.076785,0.056602,0.168173,-0.082631,11.924791,0.022154,-0.124135
173940,-1.648014,0.057013,-0.000615,-1.640468,-0.083112,-0.003535,7.229243,0.044144,-0.043314,9.953864,0.064342,-0.079162
174437,-9.443255,-0.002504,0.070206,2.860233,0.195474,0.093041,-3.677802,0.139138,0.185700,2.339869,0.007603,0.031949
175136,-3.451164,0.080798,-0.158493,9.986275,0.297742,-0.232396,-4.089166,0.247257,-0.045386,2.304248,0.005876,0.005846
175338,2.519110,0.199818,0.222675,7.804080,0.075478,0.033691,6.426237,0.072730,0.141775,-1.738613,0.012396,-0.115069
175742,-3.645543,0.151258,0.434236,4.621088,-0.017071,-0.035569,8.558689,0.064472,-0.146051,-0.449473,-0.031237,0.058474
176441,15.431833,-0.015197,-0.059153,-6.620818,-0.177108,0.042122,-0.110828,-0.124962,-0.054494,0.916358,0.058119,0.028052
176845,0.167748,0.292385,0.063763,-12.703558,0.037211,0.136192,-5.145390,0.059171,0.227248,1.153551,0.109733,-0.133291
178748,17.222238,0.360023,0.190472,7.408298,0.327551,0.022586,-6.086188,0.225774,0.081741,0.181118,-0.018530,0.071905
178950,2.991609,0.056980,0.057182,5.080409,0.125364,0.045915,-2.704645,0.021336,-0.057178,-11.541447,0.017757,0.078442
180230,0.683302,-0.006174,-0.086701,0.644988,0.035034,-0.016839,-5.223914,0.220092,-0.216014,0.053884,0.040364,-0.010539
180836,3.208283,0.259910,0.059029,-4.994933,0.276160,-0.089484,15.017488,-0.043813,0.128824,3.027424,0.121661,-0.148917
181131,-1.102873,0.199598,0.362712,-6.431397,0.109774,0.131707,-0.354496,-0.008569,0.081319,2.835488,-0.078358,-0.059812
187143,3.154242,0.144903,-0.162520,-1.214881,0.210573,-0.108644,12.261792,0.155817,-0.007800,2.156306,0.056228,0.081582
188145,-1.890669,0.000109,-0.020989,2.678110,-0.160250,0.135321,0.104209,0.009482,-0.052138,2.418482,0.029674,0.036049
188347,-12.296255,0.162275,-0.054182,7.513137,0.121622,-0.270480,-18.854609,-0.004827,0.069254,-10.665028,-0.021496,-0.066738
188448,-4.867357,0.229211,-0.288907,-0.400629,0.318495,0.023225,4.411486,-0.081292,0.063153,2.144157,-0.038416,-0.137690
188549,-8.237734,0.304140,0.096464,-12.292637,0.148912,-0.035467,-26.617534,0.289356,0.248596,1.754754,0.126383,-0.046005
191235,4.588783,0.287247,-0.045544,-15.759924,0.170583,-0.064582,2.272150,0.009158,0.092758,-0.567782,0.046566,-0.030527
192843,3.748189,0.084904,-0.026096,2.783709,0.197415,0.040074,-7.333411,0.036360,0.013111,-2.749976,-0.005386,-0.143064
193239,-0.973858,0.033842,-0.013317,-7.500180,0.223774,0.087591,-1.968991,0.100821,0.085722,-2.268316,0.038972,0.037367
196144,-1.718809,0.302376,-0.034747,2.583576,-0.086765,-0.128991,-8.032523,0.039214,-0.023231,-2.642887,0.005986,0.148766
196346,-12.465367,0.212887,0.088944,0.226288,0.341654,0.263038,1.071363,0.177093,0.123497,3.532456,0.094585,-0.065071
198350,2.386476,-0.064705,-0.112117,-5.967480,0.221885,-0.049153,1.382779,0.138364,-0.053052,4.331842,0.068268,0.007415
199958,21.054480,0.182440,0.176912,-3.877888,0.581821,-0.076335,-5.002729,0.279012,-0.061617,-0.574284,-0.009893,-0.046651
202113,-23.376901,-0.015086,0.393892,-4.275725,0.030801,0.033726,-16.918184,0.152078,0.087728,23.088157,0.102541,-0.114398
204622,-15.336231,0.561855,-0.356925,-8.907407,0.195454,-0.036163,-15.724832,-0.178974,0.311623,-5.253062,0.004411,-0.099389
206828,4.009388,0.284789,-0.092086,2.026210,0.140029,0.025152,7.984309,0.019467,0.128183,-5.198575,-0.039219,0.049007
208125,-2.806257,0.215510,0.016576,-1.812114,-0.036252,0.205243,25.318227,0.397478,0.034030,7.848407,0.031873,0.006442
208226,26.933747,0.852216,-0.043310,3.267835,-0.459303,0.316627,-8.824055,-0.273409,0.008058,35.686002,0.103738,0.192268
208327,10.103495,0.216725,0.179736,-6.450810,0.040230,-0.074302,-1.588642,-0.170069,0.018115,-0.577462,0.061989,-0.142666
209935,-9.362428,0.111676,0.092230,-1.853834,0.362283,-0.227587,-2.436951,0.000620,-0.045621,-6.361114,0.027528,-0.004833
210415,0.868830,0.294472,-0.038359,14.344152,0.282084,-0.031400,-1.994950,-0.152821,-0.038100,4.128830,0.086146,-0.027095
211114,-1.825530,0.096119,-0.181320,-3.764329,0.178295,0.170196,-19.233609,0.209167,-0.078802,-7.180101,-0.048889,-0.040688
211215,-3.155891,0.071873,0.086695,-2.576115,-0.010846,-0.046525,-3.686056,0.020685,-0.059044,0.211529,0.015074,0.006128
211619,-5.817155,0.078233,-0.221709,-1.188008,0.184398,-0.123905,-8.994799,0.011072,-0.118357,-12.367181,0.004295,0.017366
211720,-6.541227,0.228445,-0.104704,-10.850476,0.314064,0.219079,8.733872,0.035537,-0.031527,6.161832,0.067750,0.113159
217429,2.495805,-0.005691,-0.076030,3.415477,-0.102517,0.123249,1.377715,0.142803,-0.334305,5.565712,0.029486,-0.000467
224022,14.773085,-0.002928,0.218109,-3.760576,0.109048,-0.058994,-5.196925,-0.112746,0.230061,-20.461456,0.048565,0.127203
237334,-1.537407,0.153222,-0.239747,-12.120811,0.200773,-0.015000,-7.477197,0.126937,-0.062211,2.125954,-0.087644,-0.012748
250932,-14.237679,-0.017413,0.222551,-10.684749,-0.108711,0.022057,0.473565,-0.087462,-0.046099,-1.713785,-0.048090,0.047825
256540,2.131301,0.023821,0.223825,-5.378453,0.070757,-0.027546,-11.464131,0.117302,0.025944,-3.495711,0.022165,-0.032834
275645,16.013572,0.084549,-0.133456,-3.168998,0.055048,-0.094596,-18.079986,0.100675,0.030343,0.475014,0.040960,0.013593
304020,0.078392,0.002145,-0.027761,-0.571466,-0.011603,0.055212,0.369976,-0.123205,-0.028859,1.826688,0.038418,-0.045651
305830,-3.046398,0.124783,0.159740,-2.381169,0.380126,0.063911,0.197841,0.063378,-0.115860,-16.602802,0.019737,-0.003507
308331,-5.613318,-0.003829,0.146628,5.883420,-0.073998,-0.114590,1.026361,-0.338689,0.030704,-11.627326,-0.056528,0.127179
317332,NaN,NaN,NaN,8.362126,0.132901,0.031544,-6.318292,0.162388,-0.401934,-2.080009,0.033077,0.068344
329844,-4.298382,0.130442,0.073940,4.224811,0.085197,-0.057090,-1.466247,0.074429,-0.091561,0.483882,-0.020229,-0.020482
334635,10.505895,0.315998,-0.019026,-2.622048,0.041112,-0.261558,-7.783567,0.148286,0.050902,7.816449,0.053410,0.009709
346137,-5.121162,0.251198,-0.135856,5.128491,-0.009285,-0.064075,-16.754873,0.358422,-0.100825,-4.120208,0.043852,-0.057140
349244,-0.249653,0.233868,0.076933,-10.627364,0.106995,-0.048496,-6.006498,-0.168074,-0.053732,1.714216,0.038414,0.009207
350330,6.673756,0.200893,0.112051,3.392623,0.045417,-0.036813,-3.578313,-0.193277,-0.057349,4.127057,0.028688,0.109027
355239,5.574780,0.137457,0.070180,6.773055,0.763665,-0.356415,-18.233175,0.081170,-0.090915,-3.842485,0.029018,-0.103956
378857,-2.606415,0.260447,0.002332,5.614375,0.045028,0.061296,-6.032778,0.152507,0.081620,-1.804855,0.053652,0.013506
379657,-10.873858,0.213249,-0.020391,-12.733603,0.319738,0.187160,-8.582552,0.169867,-0.132545,-10.583031,0.032801,-0.131556
381543,-2.270576,0.182023,0.036724,-1.543196,0.219391,-0.033391,-1.346335,0.191357,0.016144,0.390662,0.075554,0.079575
394956,-4.107696,0.289198,0.187716,-4.922292,0.194503,-0.213167,3.185092,-0.108791,0.093614,5.834132,-0.023348,-0.010243
406432,4.027753,0.046745,0.534687,-1.485264,-0.119974,0.057240,17.593176,0.115086,-0.230257,3.944817,-0.034438,-0.019030
419239,-1.807750,-0.030585,0.190520,1.276675,0.224509,0.223830,6.350887,-0.006159,-0.019103,3.272179,-0.003521,-0.014945
436239,1.784997,-0.037416,0.119868,-7.781942,0.470000,-0.041730,-6.078069,0.510284,-0.088528,3.861528,-0.065902,0.022495
445543,-0.791775,0.281412,-0.058342,-3.197454,-0.043914,0.038905,-7.202232,0.075608,-0.036825,0.896719,0.075568,-0.002872
459453,-4.622049,0.070164,0.168617,-1.239838,-0.030655,-0.197895,1.648488,0.179153,0.094527,1.556536,0.032405,0.002999
475855,-8.157870,0.111333,0.220256,2.341353,0.178710,0.116582,5.375221,-0.097001,0.034467,-7.574530,-0.034258,-0.070761
510326,-3.997832,0.079060,0.132840,-0.912394,0.024134,0.165364,5.659834,0.215315,0.059062,-12.077002,0.006131,0.004127
513736,-5.655731,0.351342,0.209228,-6.372934,0.165860,-0.126215,-1.327377,0.152405,0.023193,0.195771,0.032163,-0.080794
522434,13.319762,0.379636,-0.065160,-1.230603,-0.003362,0.117966,0.031817,0.050262,-0.082754,-1.230217,-0.011590,-0.094195
529549,24.159366,-0.172792,0.059422,-14.280266,0.329251,-0.003820,-1.522620,0.428830,-0.131591,10.390158,0.058470,0.047530
530635,5.629061,-0.032690,0.051346,2.405556,-0.077412,-0.057731,-8.692782,-0.241222,0.034914,5.906550,0.016714,0.079281
540436,5.501898,0.222201,0.227068,-5.587235,0.117054,0.073372,1.126480,-0.036923,0.120501,0.604579,0.001143,-0.050589
553344,15.335547,0.238171,0.119202,3.815268,0.092353,0.000844,-6.797862,-0.012068,-0.242869,7.187171,0.029982,-0.045780
555651,-0.567474,0.021949,-0.125606,-5.109121,-0.031695,-0.143335,5.826235,0.061706,-0.137348,10.343314,0.045924,-0.061638
559457,8.124135,0.172926,0.047849,-0.226420,0.069255,0.000982,-5.409450,0.103182,0.002915,-5.440176,0.004346,0.099318
566454,3.029171,0.206850,0.267403,-9.380986,0.187464,0.017435,-5.489058,0.023360,0.046081,-7.217094,-0.010088,-0.123839
571144,1.826909,0.015562,0.049867,1.333818,0.090490,0.135400,-10.267425,0.179056,0.015293,4.218767,0.049788,0.076177
580650,-11.795921,-0.169888,-0.193189,5.080432,-0.223575,-0.146661,-5.978132,-0.167102,0.051290,-1.447108,0.049644,0.095739
581349,6.617481,0.032697,0.154279,0.850556,0.076167,0.100561,-12.055847,0.075919,0.011284,-4.226654,0.028312,-0.029065
587664,14.115068,0.044225,-0.007135,-11.738515,0.154158,-0.086355,10.468639,0.750276,0.020464,-7.754050,0.002480,0.011682
588565,-6.116037,0.131090,-0.085574,-1.325395,0.171938,0.029243,-5.220967,0.117904,0.034470,-4.280304,0.005163,-0.001709
594156,-14.138514,0.151584,-0.107003,3.690320,0.215369,0.195131,5.727004,-0.076448,0.057105,-6.419114,0.043285,0.002234
599671,0.065091,0.213839,-0.054215,21.554590,0.144200,0.225568,-16.180528,0.149028,-0.172888,-29.987056,0.085722,0.036645
604537,4.329041,0.173274,-0.079071,-4.576847,0.149635,0.192915,1.758401,-0.138499,-0.061512,-15.457415,-0.033094,-0.054711
614439,1.496841,0.286690,0.150469,10.764566,0.105121,0.011098,-1.804097,0.518173,-0.021898,-0.876189,0.056552,-0.144442
615744,-1.089615,-0.094324,-0.123358,7.806874,-0.013201,-0.035002,-1.445753,0.206005,-0.101269,0.929885,-0.025882,0.022331
616645,-1.375623,0.086666,0.152738,-7.258154,0.013628,0.015809,1.513067,-0.003814,0.042491,7.554619,0.051504,0.011854
620434,14.380806,0.197302,0.326943,-4.027329,0.297848,-0.278407,11.761469,0.017541,0.171449,3.645584,-0.040430,0.047872
622236,22.581447,0.060817,0.198746,-12.806075,0.113746,0.073893,-10.953416,0.180964,0.147073,4.673906,-0.000099,0.041029
626648,-2.327208,0.200912,0.053624,-12.938670,0.080860,0.130177,-1.658087,0.163071,0.252620,-11.925096,0.004293,-0.031226
645450,-13.948642,0.099277,0.163364,-6.441169,0.050832,0.148708,-12.382308,-0.275762,-0.088005,4.326849,-0.042288,-0.153776
645551,12.707563,0.236147,-0.096442,-3.537168,0.097537,0.136121,-2.282940,0.192625,-0.058481,1.447939,0.016683,-0.027073
654350,1.527278,-0.019526,-0.120597,5.628594,-0.077551,0.065960,2.332477,0.005160,-0.003574,0.592464,0.040713,0.032088
663755,-14.643133,0.164952,-0.112946,-6.095677,0.158731,0.108585,-6.809074,0.145898,-0.041973,-9.552779,0.073832,0.134907
668361,-65.022030,0.375582,-0.042141,NaN,NaN,NaN,2.965963,0.175684,0.162806,13.543456,0.059969,0.060874
673455,-2.017080,0.103853,0.239821,11.120914,0.106312,-0.026387,4.772148,-0.051532,0.107143,1.610652,0.022958,0.052018
693764,13.682858,0.231682,-0.037936,13.055153,-0.048013,0.054685,7.784853,0.876752,-0.255737,19.111610,-0.022715,0.086954
701535,2.807283,0.057960,0.128052,5.466999,0.240602,-0.112493,-1.059361,0.260093,0.078882,-7.931099,-0.053882,-0.101948
756055,16.670759,0.381651,-0.297465,-2.165411,0.492931,0.100917,7.229974,0.037477,0.198454,-6.165272,0.119957,0.040171
761957,-15.020072,0.020283,-0.128006,-9.591935,0.018636,-0.034469,10.849533,-0.130069,-0.079220,-8.348805,0.046709,0.038564
774663,2.816898,0.175054,0.170395,-2.020355,0.193953,0.070068,1.833317,0.164079,-0.052869,-3.285307,-0.024127,0.039135
788876,6.746242,0.057354,-0.033405,-5.011727,-0.051426,0.276348,6.846266,0.055050,0.164885,9.577410,0.048884,-0.110842
793465,-31.691600,-0.005461,-0.234520,8.285724,0.349349,-0.090506,5.295518,0.150148,-0.002502,0.280795,-0.000665,-0.130317
803240,-15.104839,0.058968,0.185371,-5.485283,0.027083,0.115341,-5.028958,-0.034483,0.073195,3.527962,0.002376,0.066232
810843,-47.273819,0.379273,-0.268021,17.094254,0.195268,-0.414193,-14.241337,-0.153681,0.001578,35.311735,0.142146,-0.124211
815247,20.580554,0.194804,-0.026393,-4.347905,-0.089697,-0.206548,-11.516101,0.013664,0.098909,8.574389,0.053755,-0.012547
816653,1.397739,0.010565,0.003708,-11.303267,0.194865,0.114772,5.974659,0.019900,0.137397,1.553802,0.009631,-0.049616
825654,-2.046619,0.033796,-0.036290,-7.634369,-0.000036,0.175205,-3.244815,0.092047,-0.036406,0.937559,0.009462,0.029548
828862,10.349438,-0.005039,0.024646,2.396985,0.229391,-0.103854,7.367703,0.017006,0.002973,4.461341,0.087312,0.031433
833148,-2.478541,-0.086759,-0.168613,2.819374,0.092241,-0.142088,-2.996107,0.245982,0.090875,10.705710,-0.015515,-0.028100
841349,6.749437,0.104102,-0.009595,-4.460317,0.372785,0.111868,4.349834,0.156292,-0.064333,-2.789881,0.006238,-0.072083
849264,4.105736,-0.081467,0.069606,23.072851,0.260077,0.078804,-3.867531,0.050717,-0.067924,-29.512637,0.062711,0.042058
856766,-1.567205,0.170273,0.018783,1.827751,0.009555,0.048982,0.518173,0.069985,0.005935,9.615004,0.023388,-0.137336
856968,-3.319567,0.008330,0.135543,-2.089251,0.250179,-0.045693,10.426049,0.057779,-0.023519,1.316116,-0.066817,0.014442
865363,3.777937,0.108646,0.079692,9.431077,0.261357,-0.215934,-23.924773,1.012575,0.038923,-1.014261,0.018571,0.031530
872562,10.245307,0.172135,-0.257314,-21.764399,0.236378,-0.193002,2.754925,0.121229,0.213549,7.365441,0.018269,-0.053175
873968,-11.427781,0.028452,-0.055862,1.766346,0.176539,0.051226,10.379734,-0.391480,0.096840,-7.138683,-0.003892,-0.020801
877269,2.401853,-0.066240,-0.141405,-2.623570,0.288266,0.100144,4.139630,0.329447,0.058662,0.047058,0.090792,0.016704
880157,-13.251014,0.185687,-0.068536,-11.109990,0.075212,0.078237,10.255184,0.001956,0.092552,-1.854010,0.064741,-0.041717
894067,-19.387693,0.446003,0.346306,-0.937813,0.363079,0.064797,-35.619054,0.010270,0.243102,-12.818441,0.135940,0.012821
902242,-14.281939,0.195893,-0.267073,-4.443980,0.042430,-0.000035,-2.933355,-0.034936,0.080729,2.715455,-0.022008,0.086365
904044,3.172521,-0.081691,-0.244360,0.499942,-0.011528,-0.236589,-20.462346,-0.058917,-0.320686,-12.798184,-0.036690,-0.060103
922854,16.151333,0.359866,0.245985,17.720706,0.520260,0.244867,-3.819842,0.178263,-0.074705,17.057797,0.077089,0.053491
930449,-1.397065,0.367663,0.024559,6.850522,-0.090966,-0.025940,-8.240404,0.178265,-0.125358,3.698959,-0.090011,0.133053
932554,-3.802417,0.135799,0.068092,3.844701,0.264603,0.057167,-11.377505,0.141138,-0.174063,-6.455203,-0.027263,0.051692
942658,18.405117,0.178856,-0.016796,2.406130,0.189557,0.082248,4.925657,0.058087,-0.020109,-8.732358,0.017575,-0.064123
952863,-4.721586,0.023211,-0.022400,-12.056388,0.203361,0.182998,-11.078287,0.287077,0.235770,2.623200,0.176616,0.004272
965367,4.050246,0.513601,-0.092283,4.922215,0.246298,-0.298135,-31.282652,-0.024448,0.101057,2.884964,0.015482,0.013096
979984,-2.179427,0.309482,-0.103480,3.107422,-0.053480,0.171356,-5.462588,-0.205036,0.045114,-12.407403,0.058045,0.044701
987074,-22.803023,0.217725,-0.144857,5.113672,0.186792,0.000008,-0.542918,-0.092697,0.128690,-6.216029,-0.009750,0.027777
990366,-1.098191,0.120228,0.045829,-2.130398,0.365879,0.013234,1.061426,0.016288,-0.080856,2.824918,0.041215,0.017191
993675,2.809102,0.108080,-0.034588,-11.759200,0.177682,-0.098584,5.115038,-0.024094,-0.099985,-7.300929,-0.013943,-0.075776
