subj,exclude,abs_mean,rel_mean,pct_removed
100206,0,0.396305,0.050908,0.453592
101309,0,0.507140,0.050849,0.494233
101410,0,0.371562,0.094557,0.383400
101915,0,0.359120,0.075336,0.550952
105923,0,0.251909,0.061409,0.459039
108525,0,0.692210,0.089952,0.455459
109325,0,0.319398,0.125120,0.489175
110411,0,0.251248,0.050766,0.404937
111716,1,1.072439,0.083132,0.563785
112314,0,0.734850,0.060597,0.399671
112920,0,0.161346,0.078422,0.354314
113215,0,0.170921,0.062548,0.447030
114823,0,0.406393,0.056883,0.544658
118124,0,0.273323,0.107270,0.299785
118528,0,0.181701,0.066102,0.573204
118932,0,0.335977,0.088281,0.476259
119126,0,0.296835,0.091157,0.452789
119732,0,0.298766,0.076062,0.355043
120515,0,0.175191,0.100118,0.492439
121416,0,0.316421,0.074539,0.541917
122317,0,0.288210,0.056183,0.467088
124624,0,0.249842,0.119345,0.445447
127327,0,0.480983,0.095310,0.433838
127630,0,0.464751,0.119171,0.598785
129634,1,1.226691,0.054853,0.491770
130922,0,0.518290,0.068883,0.383735
135225,0,0.407963,0.078599,0.496817
135629,0,0.474018,0.055688,0.484500
135932,0,0.268574,0.058997,0.449848
137633,0,0.347448,0.085861,0.564412
138231,0,0.219338,0.083167,0.628999
142828,0,0.355010,0.084008,0.437614
144832,0,0.648783,0.083732,0.480058
146533,0,0.242962,0.076008,0.436673
147737,0,0.301448,0.086351,0.472207
150019,0,0.265678,0.066259,0.352410
150625,0,0.464657,0.080339,0.563568
151021,0,0.538717,0.102745,0.621140
151627,0,0.292249,0.066531,0.482942
151829,0,0.295653,0.050547,0.420627
152427,0,0.418709,0.057427,0.367156
153025,0,0.435190,0.060098,0.390430
153126,1,0.307732,0.151433,0.568760
153631,0,0.167553,0.045542,0.416988
154734,0,0.310700,0.064338,0.444886
155635,0,0.368093,0.109384,0.332668
156637,1,0.480769,0.165488,0.491412
157437,1,0.975240,0.096259,0.551807
158035,0,0.204466,0.057718,0.602157
159744,0,0.342443,0.065928,0.573572
162228,0,0.211879,0.064092,0.336210
162733,0,0.292636,0.116121,0.253100
164939,1,1.086512,0.108133,0.523663
165941,0,0.328474,0.127846,0.557506
166640,0,0.700733,0.122018,0.445990
168139,0,0.406990,0.091433,0.324916
169545,0,0.366059,0.068893,0.405668
173233,0,0.405223,0.050296,0.369711
173435,0,0.222861,0.047325,0.390216
173536,0,0.347253,0.057533,0.477661
173839,0,0.725154,0.096335,0.463919
173940,0,0.297270,0.058698,0.379500
174437,0,0.263841,0.080694,0.408055
175136,0,0.237644,0.073018,0.465148
175338,0,0.325781,0.063314,0.447085
175742,0,0.556959,0.062728,0.498095
176441,0,0.713073,0.086123,0.618519
176845,0,0.433858,0.090186,0.431195
178748,0,0.639828,0.084635,0.548843
178950,0,0.166958,0.068918,0.510452
180230,0,0.283095,0.079151,0.436921
180836,0,0.335200,0.099375,0.531320
181131,0,0.410989,0.123128,0.507637
187143,0,0.166039,0.099550,0.337657
188145,0,0.219767,0.108762,0.633111
188347,0,0.284168,0.071001,0.560388
188448,0,0.112141,0.048923,0.384593
188549,0,0.138194,0.076644,0.345714
191235,0,0.683595,0.094320,0.528049
192843,0,0.381553,0.062771,0.396385
193239,0,0.488671,0.062165,0.516234
196144,0,0.152174,0.093921,0.591224
196346,0,0.196496,0.066589,0.347488
198350,0,0.497761,0.087306,0.421880
199958,0,0.494555,0.086995,0.511745
202113,0,0.422121,0.064324,0.389620
204622,0,0.588026,0.094033,0.448879
206828,0,0.212160,0.080627,0.428093
208125,0,0.411196,0.061678,0.432391
208226,0,0.639654,0.085592,0.438714
208327,0,0.265052,0.053839,0.388256
209935,0,0.425274,0.057879,0.469128
210415,1,0.315856,0.173652,0.615532
211114,1,0.788636,0.115549,0.579064
211215,0,0.239097,0.064707,0.516452
211619,0,0.347439,0.072076,0.496173
211720,0,0.395156,0.080784,0.343105
217429,0,0.272425,0.053902,0.507730
224022,1,0.407835,0.151873,0.553311
237334,0,0.206966,0.098963,0.527890
250932,0,0.719515,0.059032,0.557085
256540,0,0.222209,0.092039,0.454874
275645,0,0.528614,0.097701,0.513577
304020,0,0.276791,0.106535,0.595991
305830,0,0.271392,0.121960,0.516515
308331,1,1.021651,0.099712,0.611462
317332,0,0.261027,0.080015,0.439429
329844,0,0.190759,0.079690,0.511373
334635,0,0.231020,0.093624,0.403760
346137,0,0.425837,0.126049,0.569279
349244,0,0.246511,0.066917,0.455287
350330,0,0.356185,0.077909,0.486902
355239,1,0.524216,0.149187,0.430407
378857,0,0.652581,0.069117,0.508330
379657,0,0.634550,0.077773,0.498098
381543,0,0.386677,0.058831,0.443001
394956,0,0.280959,0.056114,0.481343
406432,0,0.328993,0.075072,0.470503
419239,0,0.379410,0.122706,0.532629
436239,0,0.343980,0.075010,0.588808
445543,0,0.369488,0.102864,0.499116
459453,0,0.400921,0.068284,0.481709
475855,0,0.344538,0.081726,0.431537
510326,0,0.298020,0.082421,0.393543
513736,0,0.675215,0.062711,0.430715
522434,0,0.155390,0.067607,0.551919
529549,0,0.231620,0.088503,0.370518
530635,0,0.252231,0.101923,0.414867
540436,0,0.307632,0.055355,0.556307
553344,0,0.305003,0.062687,0.336705
555651,0,0.267462,0.060644,0.400175
559457,0,0.221187,0.089687,0.442965
566454,0,0.319740,0.105755,0.593246
571144,0,0.181824,0.059284,0.437099
580650,0,0.473933,0.123346,0.538445
581349,0,0.441403,0.100905,0.477789
587664,0,0.694848,0.068850,0.557906
588565,0,0.200389,0.080521,0.431799
594156,0,0.367096,0.077320,0.435840
599671,1,1.134001,0.117608,0.565758
604537,1,0.869822,0.084679,0.399733
614439,1,1.254181,0.087092,0.438094
615744,0,0.342573,0.076746,0.495965
616645,0,0.404921,0.056822,0.437373
620434,0,0.364422,0.060924,0.520564
622236,0,0.233280,0.066112,0.302867
626648,0,0.280069,0.066091,0.480419
645450,0,0.234586,0.059817,0.379772
645551,0,0.255965,0.063430,0.398464
654350,0,0.290316,0.068892,0.488046
663755,0,0.397154,0.053186,0.458502
668361,0,0.376662,0.083128,0.607536
673455,0,0.464799,0.090195,0.487614
693764,0,0.371316,0.070895,0.537678
701535,0,0.279536,0.069734,0.526879
756055,1,1.337581,0.153233,0.533720
761957,0,0.341243,0.094864,0.526453
774663,0,0.171576,0.053782,0.426992
788876,1,0.362633,0.165366,0.672829
793465,0,0.222700,0.087882,0.367212
803240,0,0.388536,0.072280,0.310079
810843,1,0.814510,0.158642,0.531817
815247,0,0.579221,0.077660,0.487910
816653,0,0.396787,0.071426,0.472093
825654,0,0.236873,0.114367,0.356418
828862,0,0.500225,0.086140,0.364110
833148,0,0.153952,0.039559,0.460761
841349,0,0.321948,0.069046,0.439549
849264,1,0.928699,0.105401,0.534912
856766,0,0.472969,0.096053,0.525847
856968,0,0.288662,0.103985,0.373367
865363,0,0.475870,0.066721,0.543928
872562,0,0.276496,0.059798,0.545946
873968,0,0.320767,0.075239,0.403080
877269,0,0.500144,0.083932,0.507790
880157,0,0.334742,0.068107,0.447704
894067,0,0.426940,0.107754,0.522379
902242,0,0.477061,0.057884,0.388857
904044,0,0.196956,0.077898,0.582556
922854,0,0.268041,0.142884,0.420962
930449,0,0.305380,0.059730,0.373002
932554,0,0.128295,0.052022,0.442171
942658,0,0.194787,0.069218,0.392888
952863,0,0.317427,0.083947,0.477944
965367,0,0.293682,0.052328,0.571157
979984,0,0.479830,0.129381,0.460459
987074,0,0.723363,0.062156,0.559158
990366,0,0.283592,0.083079,0.603204
993675,0,0.262201,0.088787,0.535459
